name,城居消费（元）, 地区生产总值(亿元), 第二产业增加(亿元), 第三产业增加(亿元),第一产业增加(亿元),工业增加(亿元),国际旅游收入(亿元),建筑增加(亿元),交通仓储邮政增加(亿元),金融业增加(亿元),农居消费(元),农林牧渔增加(亿元),批发零售增加(亿元),住宿餐饮增加(亿元)
北京市,21872,11115.00,2626.41,8375.76,112.83,2131.75,4459.13,494.66,498.92,1519.19,10375,112.83,1426.72,274.43
天津市,16452,6719.01,3709.78,2886.65,122.58,3418.87,1001.39,290.91,436.37,368.10,6540,122.58,717.15,109.98
河北省,10835,16011.97,8701.34,5276.04,2034.59,7891.54,273.95,809.80,1337.54,420.74,3515,2034.59,988.89,222.89
山西省,10262,7315.40,4242.36,2759.46,313.58,3868.54,300.65,373.82,650.19,290.91,3510,313.58,480.92,172.42
内蒙古自治区,12863,8496.20,4376.19,3212.06,907.95,3879.42,577.19,496.77,698.15,219.09,3673,907.95,781.95,254.34
辽宁省,13265,13668.58,7158.84,5207.72,1302.02,6359.43,1526.18,799.41,734.13,455.07,4409,1302.02,1257.50,275.86
吉林省,10891,6426.10,3097.12,2412.26,916.72,2688.37,211.44,408.75,317.06,147.24,3922,916.72,580.37,137.69
黑龙江省,9842,8314.37,4319.75,2905.68,1088.94,3866.43,869.95,453.32,434.03,177.43,3873,1088.94,610.49,167.89
上海市,26909,14069.86,6085.84,7872.23,111.80,5576.79,4971.72,509.05,712.99,1414.21,11563,111.80,1933.65,244.26
江苏省,14752,30981.98,16993.34,11888.53,2100.11,15271.20,3880.20,1722.14,1346.26,1298.48,6384,2100.11,3115.09,584.67
浙江省,19002,21462.69,11567.42,8799.31,1095.96,10328.72,3024.08,1238.70,843.20,1653.45,7881,1095.96,1899.02,388.01
安徽省,10196,8851.66,4198.93,3234.64,1418.09,3505.67,454.45,693.26,443.81,313.81,3259,1418.09,611.15,144.35
福建省,15072,10823.01,5318.44,4346.40,1158.17,4593.24,2393.53,725.20,703.72,497.65,5811,1158.17,897.32,205.57
江西省,9642,6971.05,3554.81,2355.86,1060.38,2906.86,251.70,647.95,388.42,130.57,3184,1060.38,465.26,131.71
山东省,14815,30933.28,17571.98,10358.64,3002.65,15894.95,1391.10,1677.03,1721.24,880.28,5081,3002.65,2523.85,540.05
河南省,10797,18018.53,10259.99,5099.76,2658.78,9328.15,374.44,931.84,802.25,413.83,3208,2658.78,916.50,511.71
湖北省,11650,11328.92,5082.07,4466.85,1780.00,4391.23,442.55,690.84,562.46,393.05,3892,1780.00,852.12,288.67
湖南省,11749,11555.00,5028.93,4633.67,1892.40,4310.12,617.42,718.81,624.68,334.32,3914,1892.40,975.46,280.99
广东省,19101,36796.71,18502.20,16321.46,1973.05,17304.79,9174.98,1197.41,1634.45,1972.40,4975,1973.05,3476.44,848.40
广西壮族自治区,11229,7021.00,3037.74,2529.51,1453.75,2627.39,601.66,410.35,337.30,249.01,3143,1453.75,467.04,197.73
海南省,9807,1503.06,423.55,643.47,436.04,308.89,313.88,114.66,82.59,47.33,3130,436.04,144.68,55.02
重庆市,12168,5793.66,3057.78,2160.48,575.40,2607.15,449.78,450.63,309.59,303.01,3254,575.40,449.32,111.63
四川省,10608,12601.23,5823.39,4561.69,2216.15,4956.13,153.88,867.26,550.68,411.14,3362,2216.15,736.42,335.13
贵州省,11007,3561.56,1370.03,1652.34,539.19,1195.30,116.97,174.73,370.65,151.55,2418,539.19,248.83,130.41
云南省,10688,5692.12,2452.75,2218.81,1020.56,2051.73,1007.55,401.02,164.98,277.66,2972,1020.56,468.42,149.03
西藏自治区,8694,394.85,115.56,218.67,60.62,29.48,31.12,86.08,19.13,22.42,2009,60.62,22.24,11.72
陕西省,11310,7314.58,3861.12,2699.74,753.72,3274.57,660.11,586.55,378.63,287.16,3080,753.72,568.68,165.35
甘肃省,9975,3166.82,1470.34,1234.21,462.27,1188.78,16.03,281.56,211.11,72.49,2480,462.27,196.93,77.21
青海省,9816,1018.62,557.12,355.93,105.57,468.60,10.15,88.52,42.97,36.54,3121,105.57,55.82,13.73
宁夏回族自治区,11852,1203.92,609.98,475.00,118.94,506.98,3.01,103.00,93.29,64.80,3305,118.94,70.34,22.55
新疆维吾尔自治区,9882,4183.21,2070.76,1421.38,691.07,1755.35,135.78,315.41,191.84,171.97,2686,691.07,222.74,74.60
