name,城居消费（元）, 地区生产总值(亿元), 第二产业增加(亿元), 第三产业增加(亿元),第一产业增加(亿元),工业增加(亿元),国际旅游收入(亿元),建筑增加(亿元),交通仓储邮政增加(亿元),金融业增加(亿元),农居消费(元),农林牧渔增加(亿元),批发零售增加(亿元),住宿餐饮增加(亿元)
北京市,30037,16251.93,3752.48,12363.18,136.27,3048.79,5416.00,703.69,808.95,2215.41,13659,136.27,2139.65,348.42
天津市,23360,11307.28,5928.32,5219.24,159.72,5430.84,1755.53,497.48,632.10,756.50,9658,159.72,1463.89,194.52
河北省,15331,24515.76,13126.86,8483.17,2905.73,11770.38,447.65,1356.48,2046.22,746.01,4893,2905.73,1780.63,338.91
山西省,14055,11237.55,6635.26,3960.87,641.42,5959.96,567.19,675.30,756.29,519.32,5627,641.42,846.65,261.33
内蒙古自治区,18996,14359.88,8037.69,5015.89,1306.30,7101.60,670.97,936.09,1040.03,447.46,5945,1306.30,1216.60,381.64
辽宁省,20560,22226.70,12152.15,8158.98,1915.57,10696.54,2713.14,1455.61,1143.17,755.57,7221,1915.57,1960.33,436.13
吉林省,14804,10568.83,5611.48,3679.91,1277.44,4917.95,385.28,693.53,420.98,207.65,6239,1277.44,860.47,205.69
黑龙江省,14347,12582.00,5962.41,4918.09,1701.50,5234.64,917.62,727.77,568.81,370.78,5898,1701.50,1199.82,308.98
上海市,37558,19195.69,7927.89,11142.86,124.94,7208.59,5751.18,719.30,868.31,2277.40,17757,124.94,3040.99,279.34
江苏省,21598,49110.27,25203.28,20842.21,3064.78,22280.61,5652.97,2922.67,2127.93,2600.11,10164,3064.78,5341.39,919.13
浙江省,26856,32318.85,16555.58,14180.23,1583.04,14683.03,4541.73,1872.55,1206.95,2730.29,12371,1583.04,3288.53,620.25
安徽省,14923,15300.65,8309.38,4975.96,2015.31,7062.00,1179.18,1247.38,589.82,503.85,5356,2015.31,1050.61,252.62
福建省,19762,17560.18,9069.20,6878.74,1612.24,7675.09,3634.44,1394.11,963.85,862.41,8436,1612.24,1511.29,300.35
江西省,14029,11702.82,6390.55,3921.20,1391.07,5411.86,415.00,978.69,507.44,357.44,5853,1391.07,831.97,270.29
山东省,19923,45361.85,24017.11,17370.89,3973.85,21275.89,2550.76,2741.22,2328.38,1640.41,7041,3973.85,5400.19,881.58
河南省,15616,26931.03,15427.08,7991.72,3512.24,13949.32,549.03,1477.76,961.50,868.20,4929,3512.24,1586.09,797.99
湖北省,15935,19632.26,9815.94,7247.02,2569.30,8538.04,940.18,1277.90,869.48,674.57,5653,2569.30,1512.89,446.52
湖南省,16783,19669.56,9361.99,7539.54,2768.03,8122.75,1014.34,1239.24,948.82,501.09,5607,2768.03,1662.34,406.87
广东省,25527,53210.28,26447.38,24097.70,2665.20,24649.60,13906.19,1797.78,2090.36,2916.13,7854,2665.20,5681.17,1192.28
广西壮族自治区,15681,11720.87,5675.32,3998.33,2047.23,4851.37,1051.88,823.95,588.20,445.37,4671,2047.23,803.48,307.88
海南省,13272,2522.66,714.50,1148.93,659.23,475.04,376.15,239.46,119.74,105.24,5204,659.23,258.06,89.75
重庆市,17973,10011.37,5543.04,3623.81,844.52,4690.46,968.06,852.58,456.25,704.66,4615,844.52,747.30,166.31
四川省,15687,21026.68,11029.13,7014.04,2983.51,9491.05,593.83,1538.08,638.76,868.15,5882,2983.51,1186.58,562.63
贵州省,13877,5701.84,2194.33,2781.29,726.22,1829.20,135.07,365.13,590.91,297.27,3986,726.22,448.77,224.40
云南省,14464,8893.12,3780.32,3701.79,1411.01,2994.30,1608.61,786.02,217.22,456.23,4825,1411.01,932.21,278.20
西藏自治区,11393,605.83,208.79,322.57,74.47,48.18,129.63,160.61,23.95,31.70,2775,74.47,34.25,17.75
陕西省,16213,12512.30,6935.59,4355.81,1220.90,5857.92,1295.05,1077.67,552.54,432.11,4697,1220.90,1036.35,266.92
甘肃省,13574,5020.37,2377.83,1963.79,678.75,1923.95,17.40,453.88,280.33,145.05,3977,678.75,351.97,123.61
青海省,13348,1670.44,975.18,540.18,155.08,811.73,26.59,163.45,67.53,62.56,4905,155.08,93.70,18.93
宁夏回族自治区,17038,2102.21,1056.15,861.92,184.14,816.79,6.20,239.36,174.10,134.18,5100,184.14,109.99,37.15
新疆维吾尔自治区,14663,6610.05,3225.90,2245.12,1139.03,2700.20,465.19,525.70,256.72,288.77,4495,1139.03,371.90,77.87
