name,城居消费（元）, 地区生产总值(亿元), 第二产业增加(亿元), 第三产业增加(亿元),第一产业增加(亿元),工业增加(亿元),国际旅游收入(亿元),建筑增加(亿元),交通仓储邮政增加(亿元),金融业增加(亿元),农居消费(元),农林牧渔增加(亿元),批发零售增加(亿元),住宿餐饮增加(亿元)
北京市,32857,17879.40,4059.27,13669.93,150.20,3294.32,5149.00,764.95,816.31,2536.91,14664,150.20,2229.77,373.06
天津市,25569,12893.88,6663.82,6058.46,171.60,6123.06,2226.41,540.76,683.56,1001.59,11936,171.60,1680.33,222.18
河北省,16554,26575.01,14003.57,9384.78,3186.66,12511.60,544.94,1491.97,2212.93,913.66,5766,3186.66,2024.29,388.87
山西省,15091,12112.83,6731.56,4682.95,698.32,6023.55,720.24,708.01,847.44,639.61,6485,698.32,991.08,299.67
内蒙古自治区,21308,15880.58,8801.50,5630.50,1448.58,7735.78,771.96,1065.71,1185.30,502.01,7032,1448.58,1415.47,433.94
辽宁省,23065,24846.43,13230.49,9460.12,2155.82,11605.07,3263.69,1625.42,1297.18,969.37,8652,2155.82,2191.19,487.49
吉林省,16873,11939.24,6376.77,4150.36,1412.11,5582.48,494.77,794.29,462.13,244.63,6977,1412.11,986.46,240.70
黑龙江省,15538,13691.58,6037.61,5540.31,2113.66,5240.65,835.48,796.96,598.78,485.11,6445,2113.66,1339.05,367.40
上海市,39095,20181.72,7854.77,12199.15,127.80,7097.76,5493.23,757.01,895.31,2450.36,18512,127.80,3291.93,298.40
江苏省,24101,54058.22,27121.95,23517.98,3418.29,23908.47,6299.72,3213.48,2352.40,3136.51,11721,3418.29,5704.66,1045.21
浙江省,28259,34665.33,17316.32,15681.13,1667.88,15338.02,5151.74,1978.30,1278.91,2762.24,13724,1667.88,3684.34,655.74
安徽省,16131,17212.05,9404.84,5628.48,2178.73,8025.84,1562.67,1379.00,650.21,617.62,5648,2178.73,1223.97,268.95
福建省,20722,19701.78,10187.94,7737.13,1776.71,8541.94,4225.67,1646.00,1090.07,1015.37,9596,1776.71,1670.26,337.48
江西省,15327,12948.88,6942.59,4486.06,1520.23,5828.20,484.73,1114.39,630.56,413.07,6423,1520.23,935.94,310.84
山东省,21528,50013.24,25735.73,19995.81,4281.70,22798.33,2923.65,2937.40,2516.19,1936.11,8212,4281.70,6507.40,1059.47
河南省,17104,29599.31,16672.20,9157.57,3769.54,15017.56,611.41,1654.64,1151.91,1013.60,5608,3769.54,1877.82,898.36
湖北省,17296,22250.45,11193.10,8208.58,2848.77,9735.15,1202.97,1457.95,934.96,870.36,6705,2848.77,1687.52,512.02
湖南省,18060,22154.23,10506.42,8643.60,3004.21,9138.50,928.36,1367.92,1077.65,579.76,6382,3004.21,1849.04,460.70
广东省,28269,57067.92,27700.97,26519.69,2847.26,25810.07,15610.67,1890.90,2367.46,3171.96,8898,2847.26,6333.62,1308.40
广西壮族自治区,17457,13035.10,6247.43,4615.30,2172.37,5279.26,1278.87,968.17,625.57,573.05,5355,2172.37,982.18,364.46
海南省,15068,2855.54,804.47,1339.53,711.54,521.15,348.02,283.32,133.40,130.69,6020,711.54,300.52,98.96
重庆市,19873,11409.60,5975.18,4494.41,940.01,4981.01,1168.32,994.17,515.15,915.65,5741,940.01,847.99,189.98
四川省,16649,23872.80,12333.28,8242.31,3297.21,10550.53,798.15,1782.75,707.19,1303.56,7147,3297.21,1342.25,621.72
贵州省,15441,6852.20,2677.54,3282.75,891.91,2217.06,168.94,460.48,687.45,365.87,4448,891.91,514.49,266.58
云南省,16514,10309.47,4419.20,4235.72,1654.55,3450.72,1947.08,968.48,247.53,541.18,5645,1654.55,1039.64,330.67
西藏自治区,12958,701.03,242.85,377.80,80.38,55.35,105.70,187.50,26.23,32.04,3098,80.38,42.75,23.78
陕西省,18254,14453.68,8073.87,5009.65,1370.16,6847.41,1597.47,1226.46,617.39,551.20,5783,1370.16,1166.90,312.27
甘肃省,15048,5650.20,2600.09,2269.61,780.50,2070.24,22.35,529.85,319.66,184.43,4563,780.50,398.52,141.68
青海省,15026,1893.54,1092.34,624.29,176.91,895.89,24.32,196.45,71.87,83.73,6116,176.91,109.44,21.39
宁夏回族自治区,18223,2341.29,1159.37,982.52,199.40,878.63,5.45,280.74,196.49,167.48,5958,199.40,124.66,42.67
新疆维吾尔自治区,17442,7505.31,3481.56,2703.18,1320.57,2850.06,550.57,631.50,357.90,360.40,5410,1320.57,426.65,108.39
