name,城居消费（元）, 地区生产总值(亿元), 第二产业增加(亿元), 第三产业增加(亿元),第一产业增加(亿元),工业增加(亿元),国际旅游收入(亿元),建筑增加(亿元),交通仓储邮政增加(亿元),金融业增加(亿元),农居消费(元),农林牧渔增加(亿元),批发零售增加(亿元),住宿餐饮增加(亿元)
北京市,26949,14113.58,3388.38,10600.84,124.36,2763.99,5044.61,624.39,712.01,1863.61,13392,124.36,1888.51,317.34
天津市,20482,9224.46,4840.23,4238.65,145.58,4410.85,1419.51,429.38,585.37,572.99,8076,145.58,1090.68,157.66
河北省,13619,20394.26,10707.68,7123.77,2562.81,9554.03,350.71,1153.65,1745.91,615.42,3867,2562.81,1529.26,265.02
山西省,12680,9200.86,5234.00,3412.38,554.48,4657.97,464.60,576.03,654.08,448.30,4687,554.48,695.51,231.62
内蒙古自治区,16136,11672.00,6367.69,4209.03,1095.28,5618.40,601.90,749.29,875.61,346.44,4692,1095.28,1051.96,332.24
辽宁省,17488,18457.27,9976.82,6849.37,1631.08,8789.27,2259.33,1187.55,926.81,639.27,5955,1631.08,1651.66,369.61
吉林省,13090,8667.58,4506.31,3111.12,1050.15,3929.31,304.92,577.00,373.93,190.12,4842,1050.15,753.37,180.01
黑龙江省,12578,10368.60,5025.15,4040.55,1302.90,4429.31,762.50,595.84,486.01,304.59,4794,1302.90,935.94,253.78
上海市,34588,17165.98,7218.32,9833.51,114.15,6536.21,6340.92,682.11,834.40,1950.96,13609,114.15,2594.34,266.45
江苏省,18243,41425.48,21753.93,17131.45,2540.10,19277.65,4783.43,2476.28,1768.30,2105.92,8196,2540.10,4447.50,710.98
浙江省,23655,27722.31,14297.93,12063.82,1360.56,12657.78,3930.20,1640.15,1076.67,2326.58,10273,1360.56,2646.14,523.67
安徽省,13259,12359.33,6436.62,4193.69,1729.02,5407.40,708.98,1029.22,527.02,396.17,4447,1729.02,887.66,193.78
福建省,17900,14737.12,7522.83,5850.62,1363.67,6397.71,2978.24,1125.12,871.16,767.58,7169,1363.67,1310.94,266.47
江西省,12353,9451.26,5122.88,3121.40,1206.98,4286.76,346.03,836.12,446.22,241.49,4613,1206.98,666.89,200.71
山东省,17717,39169.92,21238.49,14343.14,3588.28,18861.45,2155.04,2377.04,1971.00,1361.45,5730,3588.28,4257.40,670.97
河南省,13958,23092.36,13226.38,6607.89,3258.09,11950.88,498.77,1275.50,873.30,697.68,4061,3258.09,1293.50,605.23
湖北省,13576,15967.61,7767.24,6053.37,2147.00,6726.53,751.16,1040.71,753.61,561.27,4758,2147.00,1291.68,385.11
湖南省,14707,16037.96,7343.19,6369.27,2325.50,6305.11,906.22,1038.08,832.28,463.16,4513,2325.50,1434.68,354.91
广东省,23159,46013.06,23014.53,20711.55,2286.98,21462.72,12382.61,1551.81,1825.29,2658.76,6255,2286.98,4647.76,1074.85
广西壮族自治区,14017,9569.85,4511.68,3383.11,1675.06,3860.46,806.15,651.22,480.17,384.53,3842,1675.06,656.83,241.34
海南省,11365,2064.50,571.00,953.67,539.83,385.21,322.36,185.79,101.90,78.12,3846,539.83,220.65,69.45
重庆市,15260,7925.58,4359.12,2881.08,685.38,3697.83,703.20,661.29,389.55,496.56,3652,685.38,624.33,142.11
四川省,13457,17185.48,8672.18,6030.41,2482.89,7431.45,354.09,1240.73,573.75,654.70,4748,2482.89,1016.03,478.42
贵州省,12635,4602.16,1800.06,2177.07,625.03,1516.87,129.58,283.19,480.32,231.51,3221,625.03,367.52,180.73
云南省,12584,7224.18,3223.49,2892.31,1108.38,2604.07,1323.65,619.42,193.26,375.08,3783,1108.38,685.38,190.34
西藏自治区,11026,507.46,163.92,274.82,68.72,39.73,103.59,124.19,22.12,27.08,2567,68.72,31.43,15.75
陕西省,14134,10123.48,5446.10,3688.93,988.45,4558.97,1015.96,887.13,474.60,384.75,3917,988.45,856.65,218.16
甘肃省,11881,4120.75,1984.97,1536.50,599.28,1602.87,14.81,382.10,227.18,100.54,3126,599.28,272.13,97.40
青海省,11878,1350.43,744.63,470.88,134.92,613.65,20.45,130.98,61.26,54.53,3848,134.92,81.44,16.30
宁夏回族自治区,14730,1689.65,827.91,702.45,159.29,643.05,5.99,184.86,145.17,97.87,3896,159.29,89.50,31.00
新疆维吾尔自治区,12665,5437.47,2592.15,1766.69,1078.63,2161.39,185.42,430.76,222.47,225.20,3674,1078.63,276.28,68.06
