2372.89,2352.34,2411.14,2340.74,2229.77,2139.65,1888.51,1525.03,1426.72,1098.23
2256.54,2070.04,1950.71,1813.47,1680.33,1463.89,1090.68,836.84,717.15,588.50
2536.85,2381.23,2255.13,2148.95,2024.29,1780.63,1529.26,1157.80,988.89,836.90
1058.12,1077.11,990.04,971.53,991.08,846.65,695.51,557.86,480.92,384.63
1841.71,1728.30,1756.89,1547.04,1415.47,1216.60,1051.96,915.89,781.95,588.02
2822.87,2968.98,2653.65,2412.95,2191.19,1960.33,1651.66,1410.33,1257.50,1078.67
1203.14,1117.29,1059.66,1011.33,986.46,860.47,753.37,673.12,580.37,485.96
1795.83,1689.24,1585.00,1421.67,1339.05,1199.82,935.94,757.36,610.49,494.19
4119.59,3824.22,3647.33,3533.10,3291.93,3040.99,2594.34,2183.85,1933.65,1525.43
7470.27,6992.68,6559.03,6123.46,5704.66,5341.39,4447.50,3579.81,3115.09,2472.64
5754.19,5245.03,4911.71,4589.13,3684.34,3288.53,2646.14,2119.39,1899.02,1650.14
1775.87,1640.93,1500.28,1375.39,1223.97,1050.61,887.66,733.19,611.15,511.66
2204.60,2046.29,1961.18,1789.88,1670.26,1511.29,1310.94,1043.42,897.32,769.15
1264.66,1186.72,1113.95,1035.04,935.94,831.97,666.89,553.89,465.26,381.25
9044.95,8416.13,7826.46,6897.76,6507.40,5400.19,4257.40,3106.24,2523.85,2119.72
2987.25,2609.46,2278.45,2072.59,1877.82,1586.09,1293.50,1057.81,916.50,765.76
2485.05,2332.27,2143.21,1974.25,1687.52,1512.89,1291.68,979.14,852.12,705.56
2487.80,2323.67,2211.82,2031.81,1849.04,1662.34,1434.68,1221.20,975.46,771.73
8382.48,7625.98,7778.82,7323.55,6333.62,5681.17,4647.76,3907.43,3476.44,2912.30
1215.06,1135.09,1112.96,1083.06,982.18,803.48,656.83,551.14,467.04,415.16
467.80,440.75,418.09,361.10,300.52,258.06,220.65,168.75,144.68,119.53
1470.85,1345.38,1229.88,1117.79,847.99,747.30,624.33,524.36,449.32,366.19
2138.45,1871.55,1586.78,1472.59,1342.25,1186.58,1016.03,868.98,736.42,624.74
732.71,671.39,624.17,582.05,514.49,448.77,367.52,293.53,248.83,198.79
1441.95,1334.62,1246.53,1162.17,1039.64,932.21,685.38,571.03,468.42,342.93
70.35,67.70,64.11,58.90,42.75,34.25,31.43,27.06,22.24,21.41
1604.40,1504.04,1413.16,1289.60,1166.90,1036.35,856.65,707.39,568.68,449.39
536.70,508.00,491.68,440.31,398.52,351.97,272.13,231.21,196.93,166.85
163.04,154.78,150.64,139.08,109.44,93.70,81.44,66.13,55.82,45.67
145.41,136.97,139.07,133.77,124.66,109.99,89.50,74.52,70.34,54.64
586.32,523.58,550.67,559.01,426.65,371.90,276.28,253.60,222.74,187.10
